surname	firstname	twostephash	uid
McGough	 Mr. James Robert	{1722375, 61448, 577544, 996362, 1537548, 364559, 568848, 304659, 881685, 586774, 514583, 1494045, 697887, 88097, 212004, 1398823, 1498666, 652341, 68154, 2039870, 1010752, 1651270, 843338, 435276, 520782, 1607758, 821840, 466513, 788050, 1637973, 1100895, 1505377, 868450, 1432163, 245353, 1185898, 2001007, 829552, 223859, 1963636, 1514109, 32383, 1413769, 1034891, 1984651, 891021, 1106578, 1740434, 1324192, 906920, 138930, 1544371, 416949, 2042558, 971969, 2035905, 1918154, 113359, 214736, 872655, 948946, 1613009, 1556180, 232663, 730329, 599770, 459998, 1224414, 1180897, 1065698, 782565, 1041637, 1663206, 1231081, 237804, 316142, 589039, 471281, 1334516, 1019131, 549116, 531198, 1148673, 1535745, 1775362, 1442053, 976647, 498440, 965385, 1002249, 1225991, 1245449, 1341708, 1391372, 1750799, 342801, 1559836, 1454367, 1443618, 1711399, 406826, 140076, 481069, 1550125, 1640753, 856370, 1671475, 893748, 805173, 509243, 206652, 260412, 567102, 786752, 299841, 927554, 864076, 1170769, 621914, 1074525, 16735, 200031, 1727330, 867176, 1589609, 1098602, 157547, 507243, 1796462, 752495, 419187, 236404, 544634, 1326463, 1390978, 456579, 1202566, 998283, 1859979, 181137, 1232278, 1223072, 377256, 643498, 170413, 1372079, 1582000, 1741231, 1875375, 123829, 438710, 709557, 933303, 1693115, 551364, 533445, 1174983, 797641, 328652, 1812429, 1819599, 744402, 1073107, 795605, 1581020, 1466845, 773598, 1256414, 1939420, 1542625, 775656, 150507, 644591, 1071088, 535537, 454644, 870901, 1081332, 1704948, 1342972, 313854}	512
Butt	 Major. Archibald Willingham	{809473, 662018, 459782, 98310, 379910, 1213958, 319498, 550924, 1241100, 326670, 724494, 309776, 737298, 1032722, 1313298, 1114645, 586774, 1713686, 1765399, 749085, 1427485, 697887, 1158176, 271908, 1077797, 558118, 1121324, 689711, 1801775, 529457, 801846, 293434, 69179, 489534, 693822, 335937, 1054785, 1350212, 1542213, 910407, 1607758, 515664, 466513, 788050, 1739859, 1945681, 203350, 861270, 960088, 970328, 1000026, 1307228, 897629, 602206, 1307743, 875104, 688738, 845412, 701029, 983654, -1430, 1014893, 496238, 1497198, 1899632, 1699441, 1709682, 263795, 494195, 441462, 1215607, 1027707, 105599, 1453696, 32383, 1697410, 1391750, 957063, 1530505, 126090, 505994, 1984651, 57489, 1106578, 924307, 1395859, 1494161, 679574, 1492124, 437919, 39072, 906920, 429225, 1090222, 1150639, 523954, 554162, 868022, 208567, 246456, 1499321, 1143997, 1940673, 230086, 1691336, 745673, 112330, 795849, 864458, 1780939, 1918154, 500431, 1982152, 1613009, 803541, 1568469, 83159, 1310936, 730329, 233178, 1508569, 1260768, 1844449, 1302249, 1425643, 1643243, 1217776, 2014450, 404213, 1814773, 1914623, 375041, 925442, 1563906, 824070, 498440, 1245449, 1646344, 1024786, 544539, 640284, 678687, 29472, 462114, 1443618, 1587490, 683816, 1752872, 406826, 465195, 1281835, 1550125, 433966, 1757480, 1932075, 856370, 849203, 1802549, 1603902, 768831, 1647935, 1953095, 1626952, 1161545, 1420617, 1539401, 968524, 674125, 1442126, 411984, 1081173, 649048, 1676120, 255834, 200031, 1727330, 1730917, 360806, 1258855, 867176, 937833, 1797993, 1970023, 1345390, 1469296, 538994, 419187, 1012085, 1488759, 696696, 1212792, 589179, 104319, 2006913, 2020226, 1951619, 386956, 1137039, 91028, 1504150, 1255832, 1466777, 834971, 1572763, 511904, 1889186, 1804707, 645542, 1767336, 170413, 1875375, 1271218, 1193396, 709557, 566714, 178620, 1795525, 1286086, 1174983, 1386950, 797641, 19917, 74705, 1210833, 372184, 1410524, 1183709, 1176545, 1772514, 1855969, 1994722, 1091048, 1500136, 933868, 1229295, 1246703, 83953, 1274863, 592373, 330742, 988662, 1110517, 1521659, 313854, 1333759}	536
Jensen	 Mr. Hans Peder	{1493509, 1213958, 173575, 15367, 996362, 1388559, 568848, 1527824, 827413, 586774, 265753, 1814554, 202277, 1077797, 729640, 891435, 1265198, 1443888, 908849, 6197, 392246, 2023995, 1687619, 1350212, 644684, 788050, 1637973, 423002, 1124955, 1432668, 472158, 1307743, 80483, 223859, 1153143, 1038983, 1413769, 845455, 1229969, 1740434, 962715, 1870491, 880798, 39072, 932003, 436391, 1679533, 509105, 554162, 882363, 2042558, 2035905, 1791171, 1238212, 1820361, 112330, 1726666, 1780939, 1918154, 936150, 233178, 829662, 1408223, 1589985, 38627, 34532, 1631460, 1643243, 1807598, 1561333, 1393398, 2011895, 218366, 953599, 375041, 1535745, 1245449, 1890061, 608529, 1817363, 1762580, 157466, 831780, 1713445, 329001, 1930025, 1787180, 1550125, 1671475, 739124, 805173, 1013051, 260412, 1647935, 927554, 702790, 315213, 1508686, 1909584, 255834, 573790, 200031, 792927, 533346, 687463, 528747, 1754998, 1059706, 282501, 1937797, 491403, 244622, 431502, 842127, 1580431, 428946, 1504150, 1109915, 741789, 1588642, 1693115, 1975740, 1702333, 762310, 1174983, 699849, 1812429, 28112, 1892304, 1347542, 802779, 1256414, 1260510, 1543649, 775656, 1500136, 753136, 1071088, 1704948, 1521659}	640
Thorne	 Mrs. Gertrude Maybelle	{459782, 2035209, 996362, 1537548, 235022, 1388559, 1580053, 306710, 1997333, 326169, 778777, 231961, 749085, 1545246, 287777, 805923, 202277, 679462, 396839, 1437221, 891435, 215084, 1700397, 689711, 1560625, 1354292, 21557, 6197, 442423, 665656, 1003062, 651329, 417346, 1064513, 474187, 520782, 861270, 1746518, 1402456, 597084, 547421, 1008732, 1307743, 1096800, 868450, 845412, 1133158, 138350, 496238, 829552, 940657, 1167986, 223859, 730739, 951411, 441462, 614006, 191100, 187524, 1057412, 313479, 957063, 1413769, 505994, 1878666, 1335949, 1229969, 1740434, 81044, 58517, 1816726, 1315991, 1691799, 39072, 1852581, 1839275, 2222, 501426, 602290, 1942199, 340155, 2042558, 971969, 1156290, 2035905, 1361093, 745673, 864458, 1551052, 1960141, 872655, 1556180, 1568469, 1601748, 850649, 1170649, 831196, 1195228, 580318, 761055, 142048, 1609953, 2019548, 1730790, 402152, 1302249, 152815, 1247471, 1159411, 404213, 706806, 803062, 1519863, 1576696, 1814773, 1664252, 253184, 1535745, 1089282, 310024, 1197323, 1341708, 1506573, 1890061, 1750799, 1635600, 721176, 676639, 29472, 1047329, 143650, 1175328, 465195, 140076, 1677616, 1671475, 1013051, 260412, 1662781, 786752, 574273, 927554, 264008, 1343306, 504143, 1816921, 1492314, 249180, 782172, 1526623, 1945955, 1730917, 687463, 1258855, 1970023, 921963, 367981, 1588590, 1469296, 1151857, 683890, 477557, 808821, 1945461, 1290617, 507773, 669566, 104319, 934782, 1326463, 1682816, 2032006, 105863, 386956, 1087884, 1544077, 2040719, 1443224, 741789, 833953, 1565091, 243114, 267691, 1011114, 551343, 1296304, 123829, 337846, 709557, 994229, 1693115, 1383359, 540608, 816577, 847299, 772548, 824772, 797641, 1812429, 950734, 456665, 1939420, 1148893, 773598, 1256414, 1281504, 1768931, 667623, 610792, 775656, 1822698, 331755, 926702, 1421294, 1071088, 1488878, 1553905, 87027, 1704948, 485367}	256
Farrell	 Mr. James	{849414, 1722375, 61448, 1537548, 364559, 304659, 87573, 306710, 514583, 551960, 586774, 1024533, 178715, 1114645, 749085, 88097, 880162, 1949733, 679462, 1398823, 729640, 1672233, 1743406, 689711, 1854005, 442423, 335937, 995905, 1486918, 1433159, 843338, 270927, 821840, 1241681, 788050, 1265746, 597084, 602206, 1505377, 845412, 192623, 829552, 2001007, 2016369, 951411, 32383, 1413766, 1980040, 126090, 1973386, 1984651, 891021, 1216141, 1229969, 1740434, 1074331, 138930, 416949, 58562, 644808, 745673, 1918154, 113359, 500431, 1613009, 233178, 599770, 459998, 1224414, 1026784, 1065698, 1041637, 1247471, 1334516, 1814773, 1019131, 799997, 1535745, 1245449, 1341708, 772891, 1454367, 1443618, 465195, 1550125, 433966, 1671475, 1529669, 264008, 802120, 1743177, 1442126, 200031, 1727330, 1936741, 867176, 1098602, 157547, 507243, 1469296, 1151857, 281460, 808821, 1290617, 544634, 907651, 1951619, 1232278, 1766810, 834971, 1588635, 1559462, 170413, 1582000, 709557, 933303, 1693115, 1174983, 328652, 685517, 1337293, 1073107, 1107417, 1581020, 1256414, 1281504, 1149409, 775656, 150507, 1488878, 1704948, 313854}	525
Isham	 Miss. Ann Elizabeth	{613376, 98310, 2041352, 332297, 1440266, 1527824, 737298, 647699, 1049619, 306710, 1713686, 231961, 1451548, 1545246, 1077797, 679462, 1700397, 1743406, 1162291, 21557, 442423, 1854007, 14394, 2023995, 651329, 417346, 1628227, 1350212, 474183, 644684, 1922636, 520782, 270927, 942672, 1739862, 1746518, 1463385, 1884761, 1881179, 597084, 1307743, 875104, 1541216, 550502, 1167986, 730739, 951411, 1291894, 1056375, 560759, 1090169, 1184893, 32383, 1697410, 1980547, 323721, 1472138, 1032843, 1984651, 1317517, 1335949, 200857, 1847963, 39072, 1581733, 439975, 1953959, 429225, 1839275, 1370286, 554162, 1433266, 906430, 489663, 1514177, 1619144, 112330, 1960141, 1613009, 1556180, 850649, 1170649, 1483481, 1508569, 142048, 1609953, 1150691, 1110765, 152815, 1128694, 1479414, 218366, 1215235, 824070, 24839, 310024, 1313544, 44811, 1341708, 525071, 1635600, 1750799, 1024786, 1134870, 157466, 544539, 640284, 1470750, 1454367, 1047329, 329001, 780076, 1229612, 1896242, 739124, 385845, 1343289, 1731385, 604475, 146751, 669504, 768831, 786752, 1218371, 1729343, 264008, 1806664, 934226, 1519099, 78168, 255834, 1117023, 795488, 1058144, 293730, 1727330, 867176, 1345390, 808821, 1290617, 916347, 507773, 507263, 1937797, 1313161, 1087884, 13714, 180115, 1504150, 526233, 279450, 1572763, 28575, 170413, 294831, 123829, 522174, 554943, 1365951, 1383359, 1426879, 1461186, 772548, 130502, 546768, 266195, 1393628, 1148893, 463838, 773598, 1246687, 727009, 1281504, 1607648, 667623, 1500136, 1488878, 1495536, 1756663, 1959417, 1521659, 622589, 313854}	177
Givard	 Mr. Hans Kristensen	{1677826, 144388, 685572, 173575, 15367, 1429514, 568848, 1527824, 1049619, 748052, 1024533, 586774, 1114645, 1675795, 409626, 1556514, 1077797, 456232, 729640, 1216044, 1129006, 1749553, 68147, 537651, 392246, 1061433, 2023995, 335937, 155203, 1350212, 282701, 134734, 1423437, 788050, 1740376, 1884761, 423002, 1124955, 608860, 984156, 602206, 1307743, 1432668, 1907297, 1501802, 1166451, 1153143, 493690, 1686141, 1091718, 1353862, 323721, 126090, 1229969, 1870491, 39072, 1379489, 932003, 843941, 1473189, 1581733, 1638053, 762539, 554162, 594100, 818868, 1644214, 766139, 58562, 1791171, 1238212, 1070277, 961737, 1918154, 500431, 1888975, 1925331, 233178, 829662, 1589985, 38627, 1631460, 1807598, 1691377, 1997554, 1393398, 1965817, 719102, 218366, 1698046, 375041, 1535745, 1215235, 617732, 24839, 665353, 1245449, 625419, 1267470, 1472274, 288019, 1762580, 2003224, 193818, 157466, 1110302, 676639, 1443618, 161572, 667941, 831780, 329001, 716586, 1522986, 1930025, 1550125, 433966, 1497394, 1671475, 739124, 867131, 1464124, 1647935, 977732, 1442126, 1508686, 645973, 1819478, 255834, 2017115, 200031, 533346, 1561957, 972141, 575855, 326513, 1921399, 1983864, 839033, 1059706, 1714553, 1951619, 1937797, 909192, 244622, 431502, 1580431, 1620882, 1895828, 992150, 1504150, 526233, 834971, 966060, 1821103, 1770416, 2017715, 1723319, 1016763, 1693115, 1426879, 1461186, 162246, 393158, 1174983, 699849, 2041289, 28112, 520155, 1569757, 1256414, 1543649, 775656, 1500136, 1923562, 753136, 436210, 1704948, 1731065, 1521659, 622589}	213
Risien	 Mr. Samuel Beard	{755203, 1493509, 748551, 147980, 1049619, 1114645, 306710, 586774, 438808, 1545246, 1138718, 985637, 679462, 1098279, 729640, 392246, 442423, 335937, 651329, 995905, 976965, 644684, 515150, 520782, 1951825, 788050, 232023, 1740376, 1884761, 1124955, 319068, 597084, 602206, 967267, 189029, 139366, 1614951, 1501802, 829552, 951411, 114804, 1029239, 675961, 1686141, 32383, 1148544, 370822, 1353862, 323721, 126090, 1984651, 1827990, 1431703, 1960602, 962715, 664737, 1581733, 906920, 510633, 548521, 1039528, 573101, 1909936, 346289, 2002609, 1644214, 867000, 752830, 58562, 1070277, 1279177, 1726666, 1918154, 860366, 500431, 25297, 1613009, 479443, 1556180, 1477849, 2009820, 38627, 34532, 1631460, 1992942, 631028, 1393398, 2011895, 435960, 861944, 1438973, 1698046, 1535745, 617732, 665353, 1213705, 1341708, 1750799, 608529, 1172244, 293657, 157466, 193818, 544539, 567582, 1454367, 1443618, 380710, 276776, 343848, 1787180, 433966, 1671475, 1731385, 1398590, 245055, 786752, 1831745, 264008, 113995, 973132, 1442126, 819535, 379230, 200031, 792927, 1727330, 528747, 762735, 326513, 182642, 808821, 842103, 170872, 839033, 1290617, 614270, 1229695, 1336708, 701830, 909192, 1580431, 2040719, 834971, 1678235, 765858, 1145259, 1597869, 1821103, 123829, 709557, 93112, 1693115, 1426879, 112065, 1461186, 393158, 1174983, 984009, 1126346, 1892304, 1916376, 101853, 773598, 1256414, 1281504, 1543649, 118754, 1839078, 775656, 1923562, 1550315, 1564141, 1244654, 1488878, 1704948, 313854}	538
Navratil	" Mr. Michel (""Louis M Hoffman"")"	{707585, 1189379, 332297, 1537548, 1527824, 437778, 1049619, 1413138, 120341, 306710, 586774, 678425, 1753114, 20506, 1167388, 99870, 1592863, 1059872, 1158176, 2000417, 1949733, 729640, 165418, 32300, 910381, 1743406, 537651, 291380, 548403, 1354292, 442423, 1548345, 1281594, 1003579, 1093179, 1198651, 667710, 922687, 531524, 1661508, 702534, 383047, 1553994, 1287755, 435276, 632398, 1162830, 1620048, 1907281, 788050, 203350, 861270, 1195608, 1740376, 451674, 1125466, 597084, 1307228, 1313886, 234591, 1421408, 1432668, 1711710, 1140838, 636008, 1732712, 496238, 1497198, 829552, 650354, 494195, 369780, 894580, 441462, 831094, 874614, 951411, 1090169, 1392755, 2023545, 1460338, 105599, 231040, 512641, 1804402, 672902, 957063, 2021975, 323721, 346761, 505994, 1034891, 1131657, 1348750, 1972875, 883344, 1229969, 1395859, 849046, 37015, 1798807, 143513, 1074331, 272028, 715420, 1987227, 39072, 681121, 1442979, 1647268, 1581733, 1703080, 718506, 1560747, 1869994, 522929, 769716, 868022, 1942199, 1143997, 1024191, 59584, 1758911, 1856193, 540869, 1255621, 1895622, 1636040, 112330, 864458, 1551052, 710349, 1918154, 739536, 1568469, 920279, 1916120, 1483481, 421086, 1224414, 1260768, 1073377, 34532, 1302249, 316142, 224495, 1297138, 404213, 1416951, 976635, 218366, 691456, 375041, 1136898, 1535745, 1123077, 1524486, 24839, 1225991, 1213705, 1245449, 803083, 525071, 1955089, 2008850, 996627, 14612, 473365, 1134870, 1385752, 27929, 157466, 772891, 1814303, 74017, 169765, 329001, 249643, 1550125, 1177903, 1671475, 1490743, 1013048, 604475, 1603902, 299841, 574273, 534341, 1398085, 264008, 1626952, 1807176, 624459, 1485644, 1857869, 1874248, 842581, 1005398, 185688, 962394, 1313118, 1058144, 1664355, 620388, 1091941, 1588590, 752495, 1579887, 1783665, 683890, 979826, 980340, 407413, 808821, 1148274, 1273207, 1790329, 1646970, 1953660, 1737086, 1087360, 2020226, 456579, 1937797, 859017, 307595, 491403, 670608, 592275, 1080723, 1853844, 338842, 1409434, 394144, 509345, 782754, 784290, 1096097, 1565091, 1595298, 1889186, 1011114, 113070, 294831, 950190, 1695665, 1931695, 2002352, 438710, 1072056, 1693115, 1426879, 816577, 528834, 513987, 646083, 1455553, 1461186, 986567, 1174983, 797641, 53200, 723408, 1884761, 259541, 1117144, 1107417, 1620440, 348125, 1256414, 199135, 828385, 1768931, 446440, 775656, 1289705, 232942, 1488878, 87027, 1704948, 1361399, 1995769, 1959419}	148
Lindahl	 Miss. Agda Thorilda Viktoria	{1681412, 98310, 459782, 332297, 319498, 1537548, 724494, 737298, 397331, 1049619, 1713686, 1719832, 999962, 1545246, 350752, 1158176, 794659, 1567779, 202277, 1949733, 916522, 1778732, 1700397, 1743406, 689711, 1357359, 1354292, 21557, 1854005, 242746, 293434, 1628227, 1137220, 1865797, 1122376, 1287755, 2008652, 1144398, 270927, 515664, 1620048, 203350, 1304151, 623704, 1195608, 249434, 1305686, 1739862, 1881179, 1884761, 954463, 1675361, 1840738, 967267, 1043562, 1014893, 362094, 1899632, 1699441, 1167986, 494195, 369780, 223861, 772213, 1056375, 894580, 1733746, 112762, 231040, 60547, 1413766, 957063, 323721, 1972875, 1559184, 1851024, 1323666, 924307, 389268, 58517, 1731223, 1509528, 1074331, 39072, 1492641, 1162914, 1252003, 1581733, 1953959, 429225, 1869994, 579244, 1090222, 1496238, 1565870, 769716, 1942199, 461500, 1128636, 1298108, 1940673, 112330, 864458, 1551052, 1960141, 820947, 2023123, 850649, 1170649, 1903327, 142048, 1271009, 1150691, 34532, 1209061, 1746659, 1452265, 351979, 316142, 2000628, 1795323, 1634046, 1914623, 873728, 617732, 713477, 824070, 24839, 1313544, 665353, 982281, 1010955, 1213705, 1646344, 525071, 1635600, 609554, 1024786, 14612, 1134870, 170264, 193818, 640284, 678687, 29472, 1047329, 464167, 2037031, 1263919, 656690, 355125, 645433, 604475, 1603902, 768831, 1729343, 574273, 1032005, 1579845, 1806664, 973132, 1696590, 819535, 722256, 778066, 1005398, 1501528, 971100, 1117023, 1058144, 1418591, 1252706, 505699, 1372003, 1091941, 1258855, 1970023, 1343337, 4974, 1345390, 1588590, 626033, 683890, 979826, 1244019, 1783665, 1488759, 1790329, 669566, 104319, 318856, 909192, 1313161, 1063307, 386956, 1087884, 592275, 1724819, 94618, 1572763, 1889186, 1203620, 1544108, 294831, 1821103, 490929, 1695665, 1193396, 1601462, 330680, 1498046, 1383359, 1426879, 816577, 1225665, 1461186, 1706946, 1286086, 797641, 1847921, 41932, 1585105, 744402, 1117144, 1107417, 1246687, 1768931, 667623, 929258, 1915371, 1923562, 237552, 1769968, 1858032, 1959417, 582650, 1519099, 1331196, 1406974}	246
Meek	 Mrs. Thomas (Annie Louise Rowley)	{707585, 1493509, 2035209, 996362, 613387, 814091, 1433612, 235022, 1049619, 1302036, 1511957, 306710, 409626, 818717, 1545246, 1533984, 1815075, 28197, 679462, 1109030, 1437221, 784426, 1206314, 1700397, 236592, 73778, 291380, 21557, 1354292, 442423, 209463, 1220664, 1854007, 2011188, 500284, 625213, 2023995, 944703, 1090626, 155203, 644684, 1607758, 821840, 466513, 1040979, 1637973, 1402456, 1740376, 1884761, 1167451, 597084, 547421, 1922655, 423008, 1085537, 782434, 1087587, 1432163, 1505377, 1813091, 1732712, 496238, 829552, 1261168, 650354, 223859, 329843, 951411, 441462, 1392755, 1097340, 105599, 323721, 1413769, 1034891, 435852, 1238160, 181393, 243347, 1450132, 37015, 1722015, 39072, 664737, 1948323, 776359, 839339, 1118382, 1645233, 1554611, 1942199, 15035, 2042558, 59584, 1514177, 2035905, 667845, 1199301, 864458, 1551052, 710349, 1960141, 113359, 1601748, 1568469, 1618644, 1844437, 850649, 1170649, 1224414, 2001631, 981217, 1730790, 1748712, 1271019, 1386731, 316142, 589039, 806128, 1992942, 404213, 751350, 1519863, 976635, 348413, 218366, 1123583, 375041, 1535745, 24839, 1225991, 1213705, 1313544, 1614601, 1809163, 1635600, 364306, 1771283, 1762580, 1177366, 932633, 157466, 140059, 1105178, 1443100, 179486, 1559322, 1047329, 78116, 1711399, 276776, 329001, 780076, 481069, 1786161, 1671475, 739124, 35637, 274230, 805173, 1373492, 1897780, 260412, 898365, 567102, 359743, 299841, 337218, 574273, 860481, 881477, 927554, 1742146, 264008, 1874248, 1485644, 942926, 1516372, 387926, 632150, 1330009, 958810, 1527131, 249180, 1297245, 2017115, 137568, 533346, 733541, 1343337, 1920875, 1579887, 683890, 808821, 1273207, 1408888, 1290617, 1059706, 1349499, 1800056, 447870, 258943, 522111, 669566, 792961, 456579, 1149827, 282501, 296326, 372613, 1229695, 859017, 1336708, 998283, 1937797, 1323917, 244622, 530830, 1232278, 862616, 115616, 833953, 1096097, 1565091, 1868710, 637863, 269224, 160681, 1011114, 267691, 672683, 1145259, 1244589, 1372079, 2032006, 121269, 270774, 337846, 438710, 994229, 1693115, 1383359, 540608, 816577, 1426879, 1461186, 772548, 1583043, 130502, 220102, 12745, 1126346, 1812429, 1131982, 53200, 346577, 1547732, 1347542, 1898966, 1393628, 1256414, 1281504, 142817, 506850, 727009, 1768931, 1818602, 331755, 1488878, 1071088, 1589744, 545268, 1704948, 239606, 170487, 889850}	415
Scanlan	 Mr. James	{1654275, 1493509, 1722375, 61448, 364559, 1527824, 304659, 586774, 514583, 217116, 1545246, 88097, 1974818, 1109030, 1398823, 1767984, 2023995, 843338, 632398, 729168, 821840, 788050, 770140, 1432668, 1980512, 1505377, 2001007, 829552, 644728, 32383, 327813, 1313929, 1466507, 1984651, 891021, 1229969, 1740434, 446107, 962715, 39072, 906920, 138930, 416949, 1310907, 1241278, 1130690, 1726666, 1918154, 113359, 1613009, 964311, 233178, 599770, 1363674, 353501, 459998, 1224414, 1065698, 34532, 1041637, 691949, 1334516, 1513718, 2011895, 1019131, 1535745, 1245449, 1341708, 157466, 635165, 1454367, 1443618, 588583, 1787180, 1550125, 1115952, 1671475, 739124, 385845, 722256, 1088854, 432985, 200031, 792927, 1727330, 1904484, 867176, 1589609, 1098602, 157547, 507243, 528747, 1289584, 360824, 544634, 1937797, 1232278, 880547, 795563, 170413, 1597869, 1582000, 709557, 933303, 348600, 1693115, 1702333, 551364, 772548, 762310, 1009605, 1174983, 1892304, 1131986, 1073107, 1581020, 1256414, 1149409, 775656, 861162, 150507, 1704948, 313854}	468
Soholt	 Mr. Peter Andreas Lauritz Andersen	{613376, 521217, 809473, 1654275, 849414, 15367, 2035209, 564746, 996362, 550924, 1127434, 1527824, 1553424, 827413, 586774, 1345557, 438808, 1814554, 178715, 202277, 1437221, 729640, 1672233, 891435, 1533483, 362541, 1790509, 1357359, 94256, 1443888, 6197, 392246, 1220664, 2023995, 693822, 1687619, 474183, 315977, 435276, 644684, 134734, 270927, 632398, 942672, 788050, 1019895, 1637973, 1304151, 1463385, 423002, 1124955, 984156, 394333, 547421, 1432668, 1507933, 1541216, 1879642, 967267, 217700, 1980512, 820842, 198764, 1280621, 829552, 1261168, 650354, 263795, 721522, 1281652, 1404533, 1432184, 375928, 1273467, 1184893, 836226, 370822, 1413769, 1973386, 561293, 1216141, 1317517, 892560, 1458322, 1740434, 446107, 706205, 682655, 39072, 625313, 1252003, 1708709, 2016933, 2002609, 932021, 1790133, 1942199, 1078969, 1994425, 2042558, 1024191, 2035905, 1130690, 1691336, 961737, 864458, 1780939, 223436, 1551052, 1918154, 1710799, 739536, 267473, 1777362, 31955, 499411, 1157844, 936150, 1017047, 1867479, 233178, 1026784, 38627, 1631460, 1429734, 875244, 691949, 861934, 1724653, 1217776, 1168625, 1531120, 482547, 1393398, 435960, 1965817, 1760506, 234237, 953599, 2816, 544513, 1535745, 617732, 824070, 976647, 665353, 1341194, 1890061, 608529, 1875217, 1596182, 494871, 1136407, 293657, 157466, 193818, 643868, 635165, 504094, 676639, 384292, 329001, 1496881, 1896242, 1671475, 209716, 805173, 1013051, 260412, 359743, 1697088, 574273, 927554, 264008, 1743177, 60920, 819535, 464722, 934226, 1088854, 1501528, 432985, 249180, 1297245, 379230, 533346, 687463, 872295, 1230184, -1685, 1767788, 972141, 1988971, 1579887, 45425, 182642, 683890, 281460, 1000309, 1122678, 1212792, 1352057, 1059706, 1103227, 111484, 1244538, 614270, 507263, 1607032, 1761662, 1045892, 282501, 1098629, 1353095, 909192, 1342344, 1801607, 1937797, 2032006, 1323917, 244622, 1118094, 1628049, 428946, 472467, 930194, 1238419, 526233, 222618, 741789, 147870, 1559454, 511904, 833953, 1588642, 637863, 269224, 1011114, 1550253, 113070, 1821103, 368560, 1770416, 1729972, 994229, 330680, 348600, 1373624, 1693115, 1975740, 887742, 816577, 528834, 1795525, 730567, 1174983, 41932, 1337293, 1812429, 28112, 603089, 618449, 1585105, 1785811, 1620440, 802779, 101853, 1256414, 907743, 1543649, 763366, 775656, 1923562, 331755, 1071088, 1182193, 77298, 1495536, 1704948, 1363445, 1756663, 981496, 588798}	715
Graham	 Miss. Margaret Edith	{613376, 1550338, 379910, 332297, 972814, 1049619, 1114645, 178715, 1494045, 1545246, 1077797, 802856, 1672233, 1177131, 1700397, 1743406, 1790509, 1407025, 21557, 1854005, 335937, 1628227, 1350212, 1865797, 702534, 941126, 1122376, 1305161, 1553994, 134734, 942672, 1620048, 938067, 861270, 1739862, 1463385, 1884761, 1881179, 984156, 394333, 602206, 1307743, 1675361, 2030690, 1732712, 496238, 5232, 650354, 1167986, 1281652, 441462, 1056375, 560759, 990328, 1291894, 493690, 1184893, 105599, 32383, 1980547, 323721, 126090, 505994, 435852, 1216141, 1317517, 845455, 1813643, 1973386, 1458322, 1984651, 594942, 1143447, 1798807, 1847963, 880798, 625313, 1581733, 1953959, 700586, 1031851, 579244, 1370286, 738992, 554162, 1128636, 489663, 1024191, 58562, 886983, 890057, 961737, 667851, 764620, 1960141, 500431, 1613009, 1568469, 1170649, 1508569, 1058012, 1843933, 1145055, 142048, 1026784, 1302249, 1643243, 224495, 627953, 1168625, 404213, 1131766, 1965817, 292094, 1215235, 713477, 24839, 1313544, 525071, 1635600, 1817363, 1134870, 1596182, 544539, 676639, 1454367, 1047329, 2037031, 433966, 1497394, 385845, 604475, 1729343, 1356096, 1806664, 1743177, 1442126, 778066, 934226, 1561430, 1519099, 255834, 2017115, 1117023, 849760, 1270626, 1727330, 867176, 1343337, 1988971, 188277, 1014651, 669566, 1737086, 907651, 1951619, 491403, 1087884, 13714, 930194, 1504150, 834971, 1705884, 28575, 1565091, 1678757, 1559462, 264108, 170413, 113070, 294831, 1770416, 168885, 1072056, 338875, 1365951, 1383359, 1426879, 528834, 1259970, 772548, 1461186, 239052, 1337293, 266195, 1034708, 1090005, 1347542, 734680, 1620440, 42459, 520155, 916444, 463838, 1419741, 1607648, 828385, 1442786, 1500136, 77298, 1777651, 1756663, 1959417, 1521659, 313854}	887
